# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-164.5590154398234,0.0,0.0015601408565859107,640.9677663261259,0.0,0.0
 0.10972496857199467,0.030098921820313044,0.2743124214299867,2.5,-164.5590154398234,0.0,0.0015601408565859107,640.9677663261259,0.0,0.0
 0.15475970290899238,0.059876414111198956,0.6612116787024674,8.59113000150705,-164.55633927910566,0.0,0.0015707303419001707,636.6465161615602,0.05942437003677559,1.319523050632415
 0.18903386420988255,0.08933450454530077,0.859483917797187,5.784889595228988,-164.55367378973955,0.0,0.0015809021595524955,632.5502144187526,0.0777696452650156,0.5352508867303359
 0.21769264644668251,0.11847522079240078,1.016816276641413,5.489848017415054,-164.55101987902287,0.0,0.001590618205976399,628.6863788197063,0.09260375038605038,0.5176111461563324
 0.2427349093306287,0.14730059051937133,1.1510688894432786,5.36104158893447,-164.54837848945746,0.0,0.0015998388816931258,625.062943176934,0.10547727166999663,0.5140718050763323
 0.26518871875717165,0.17581264139017574,1.2698090702195024,5.288197584676185,-164.54575060002827,0.0,0.0016085237780859034,621.6880431758186,0.11703534929199251,0.5147490745304406
 0.2856665196104182,0.2040134010658237,1.3771380959189747,5.2412378882206125,-164.54313722754168,0.0,0.001616628598283899,618.57126680892,0.1276197822874567,0.5168735193450299
 0.30456847979025786,0.23190489720437182,1.4755874985016904,5.208422917307767,-164.54053942802403,0.0,0.001624104752872721,615.7238307635005,0.1374354560535129,0.519293960661568
 0.3221733430691586,0.2594891574608945,1.5668545571485426,5.184195821403216,-164.5379582981277,0.0,0.0016309038493572269,613.1569315960108,0.1466145948129975,0.5213979009133068
 0.33868463767196233,0.28676820948747106,1.6521449518528013,5.165578881366209,-164.53539497665625,0.0,0.0016369736726474236,610.8833738191604,0.1552465468702086,0.522790748082549
 0.3542564500094017,0.3137440809331594,1.7323527192034136,5.150830591360804,-164.53285064608104,0.0,0.0016422586786934224,608.9174701732117,0.16339334947324544,0.5231762640402131
 0.36900883428123854,0.34041879944399656,1.808163210726603,5.1388636661204705,-164.53032653415752,0.0,0.0016466978928210284,607.2759334663733,0.17109857478021687,0.5223037283323179
 0.3830375400208029,0.36679439266297065,1.880115935755104,5.128963880508002,-164.527823915558,0.0,0.0016502317440864865,605.9754962195124,0.17839269323877388,0.5199423663143643
 0.396420427440372,0.39287288823001826,1.9486449186529409,5.1206425601123025,-164.52534411363635,0.0,0.0016527919849211906,605.03681595944,0.18529647929551363,0.51586670651094
 0.40922185365984715,0.4186563137820036,2.014105702750548,5.1135539880720176,-164.5228885021623,0.0,0.0016543114694731631,604.4810898388215,0.19182327280892422,0.5098489341352602
 0.4214957636573464,0.44414669695272424,2.076794043292981,5.107446653528118,-164.52045850719045,0.0,0.0016547133498883498,604.3342794493524,0.19798051088521518,0.5016525359519042
 0.4332879252288916,0.469346065372894,2.13695922221559,5.102133188862468,-164.5180556089831,0.0,0.001653919305994141,604.6244193267446,0.2037708008617578,0.49102871779799695
 0.4446375812592282,0.494256446670142,2.194813766220301,5.097471134814211,-164.51568134396527,0.0,0.0016518485787814753,605.3823654572948,0.20919268491375903,0.47771351285968716
 0.45557869505454424,0.5188798684690036,2.250540690784426,5.093350238984103,-164.5133373068075,0.0,0.0016484122120266963,606.644377361483,0.21424118253793678,0.4614244690827554
 0.4661409050452175,0.5432183583909362,2.3042990002494053,5.089683836285148,-164.51102515253353,0.0,0.0016435179009622982,608.4509328523217,0.21890819023657243,0.4418590146150083
 0.4763502677880229,0.567273944054303,2.356227932083106,5.0864028580329474,-164.50874659874358,0.0,0.0016370686208086423,610.8479432621722,0.2231827634460512,0.4186914812573432
 0.4862298440344435,0.5910486530743984,2.4064502795561706,5.0834515793387824,-164.50650342788794,0.0,0.0016289583678952312,613.8892311238715,0.22705132281692128,0.39157138670514163
 0.4958001666249961,0.6145445130634348,2.4550750266485917,5.080784543294433,-164.50429748962028,0.0,0.0016190789666552991,617.6351003223793,0.23049779636686435,0.3601209381745683
 0.5050796181318655,0.637763551630578,2.502199461892166,5.078364298653726,-164.5021307032848,0.0,0.0016073146975023361,622.1556995365847,0.23350370804688542,0.32393204251305835
 0.5140847386888415,0.6607077963819366,2.5479108920517857,5.0761597105114244,-164.50000506042412,0.0,0.0015935428322034816,627.532551865734,0.2360482402501939,0.2825650347720579
 0.5228304791882763,0.683379274920607,2.592288044692807,5.074144681504046,-164.49792262739922,0.0,0.0015776343914052627,633.8604213041144,0.23810825681186495,0.23554512757429308
 0.5313304112684215,0.7057800148466753,2.63540222614174,5.072297171602377,-164.49588554814852,0.0,0.0015594503587765438,641.2515758337721,0.23965829744304043,0.18235917846875432
 0.53959690279217,0.7279120437572569,2.6773182851514945,5.070598438205071,-164.49389604695713,0.0,0.0015388486703406268,649.8364779290795,0.24067056570634118,0.12245440044215104
 0.5476412655184125,0.7497773892465216,2.718095420776458,5.0690324408096705,-164.49195643140223,0.0,0.0015156774754662423,659.7709711905476,0.24111488018053817,0.0552330233378869
 0.5554738801800624,0.7713780789057364,2.7577878642461946,5.067585370193066,-164.4900690953589,0.0,0.0014897718612228224,671.2437159198242,0.2409586229944652,-0.019949556160096523
 0.5631043030641095,0.7927161403232921,2.7964454581104516,5.066245272601884,-164.48823652209657,0.0,0.0014609595159922838,684.4816636283039,0.240166670996044,-0.10378874283323149
