# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-168.079605582451,0.0,0.00048736378057274423,2051.8553898790174,0.0,0.0
 0.10102582375628033,0.025515542664087537,0.2525645593907008,2.5,-168.079605582451,0.0,0.00048736378057274423,2051.8553898790174,0.0,0.0
 0.14276914032750043,0.050957568574633766,0.6094874102094517,8.550419088281814,-168.08031705048177,0.0,0.0005125075933477639,1951.190602792584,-0.017043878857994323,-0.40830198120254807
 0.1747300121270798,0.07632644284482365,0.7937478811364511,5.765189137594938,-168.08106306442892,0.0,0.0005379650710003612,1858.8567435065474,-0.02334147678577352,-0.19704086819878533
 0.20161600193278667,0.10162253058840359,0.9408650351496658,5.471889079642043,-168.081843891693,0.0,0.00056374894488309,1773.8392401024882,-0.02904216172633727,-0.2120318047339926
 0.22525203388179177,0.12684619691970966,1.0671700895364462,5.343750366359481,-168.08265979974044,0.0,0.0005898614934337019,1695.3132407046944,-0.03451967103325592,-0.23174403041662894
 0.2465747813169056,0.15199780695369952,1.179567037996742,5.271222613423772,-168.08351105607628,0.0,0.0006162992059473365,1622.588493299878,-0.03992245082085551,-0.253381033754703
 0.2661411097940164,0.1770777258059767,1.2817897277773052,5.224418566832606,-168.084397928196,0.0,0.0006430647379655399,1555.053388813845,-0.04532644541622442,-0.2761884837868616
 0.2843141351342361,0.20208631859282167,1.3761381123206338,5.191671875046647,-168.08532068355242,0.0,0.0006701605916174109,1492.1796544116871,-0.0507761002462212,-0.29987603758719517
 0.30134627950663095,0.2270239504312214,1.4641510366021682,5.167459971991715,-168.086279589508,0.0,0.0006975942907943131,1433.4979703766696,-0.05629977849894287,-0.3243090319075891
 0.31742147781074626,0.2518909864388952,1.5469193932934406,5.1488233691078955,-168.0872749133074,0.0,0.0007253551330506575,1378.6350360467661,-0.06191673537138655,-0.34941757894244563
 0.33267869888787677,0.2766877917343264,1.625250441746555,5.134031161842899,-168.08830692202628,0.0,0.0007534508125726131,1327.226652773204,-0.06764067411975534,-0.37516260133036755
 0.34722599639819307,0.30141473143679487,1.6997617382151713,5.122002654841986,-168.08937588253326,0.0,0.0007818859500108437,1278.958906968633,-0.07348172443858939,-0.4015213351271479
 0.3611493711285677,0.3260721706663997,1.7709384188168997,5.112027937196321,-168.09048206143964,0.0,0.0008106579281309396,1233.5659287334786,-0.07944761437669846,-0.4284801676057862
 0.37451861077607407,0.35066047454410104,1.8391699547616056,5.103621278674026,-168.09162572507805,0.0,0.0008397667818523728,1190.8068068543766,-0.08554440406128062,-0.45603114652218313
 0.3873912792987154,0.3751800081917382,1.9047747251869709,5.096439041366987,-168.09280713942252,0.0,0.0008692192008888631,1150.4577889874045,-0.09177695692086496,-0.4841694516270728
 0.399815525827636,0.39963113673207257,1.9680170128158792,5.090231225024046,-168.09402657008667,0.0,0.0008990107268135773,1112.333779980986,-0.09814926493321258,-0.5128929144728758
 0.4118321139924911,0.42401422528881033,2.0291190995503214,5.084811586798626,-168.095284282242,0.0,0.0009291457332535369,1076.257431111863,-0.10466466338706772,-0.5422003620720511
 0.4234759209148197,0.4483296389866365,2.088270087268277,5.080038522841301,-168.09658054059128,0.0,0.0009596242515140478,1042.0745395109068,-0.11132599139940588,-0.5720919332288249
 0.43477706607007294,0.4725777429512513,2.145632467462232,5.075802443550655,-168.09791560932084,0.0,0.0009904483913481844,1009.6437217075127,-0.11813570317151091,-0.6025682953855002
 0.44576177597878214,0.49675890230939473,2.2013471051221334,5.072017206000875,-168.09928975204332,0.0,0.001021616315389592,978.8410628687458,-0.12509595009006147,-0.6336304714821966
 0.4564530565956984,0.5208734821888894,2.255537081436194,5.0686141591231575,-168.10070323176603,0.0,0.0010531321045263574,949.5484903574815,-0.13220864490818218,-0.6652799671974426
 0.4668712232376983,0.5449218477186616,2.3083106995834908,5.065537916675717,-168.10215631082397,0.0,0.0010849977333444907,921.6609116016433,-0.13947550541809614,-0.6975181679872788
 0.47703432330547546,0.568904364028782,2.3597638663579326,5.062743299908832,-168.1036492508448,0.0,0.001117211479893006,895.0856825207065,-0.14689809318901276,-0.730346815579478
 0.4869584771828087,0.5928213962504998,2.4099820012207056,5.0601930888507445,-168.10518231269668,0.0,0.0011497753856748022,869.73509127011,-0.1544778397050498,-0.7637675321972981
 0.4966581558844161,0.6166733095162721,2.4590415826680627,5.057856343141268,-168.10675575642728,0.0,0.0011826896672751306,845.5303429715082,-0.16221606704958444,-0.7977818217063537
 0.5061464092374067,0.6404604689598006,2.507011412804542,5.05570713089775,-168.10836984122653,0.0,0.0012159528908667844,822.4002817141676,-0.17011400720538045,-0.8323913645609623
 0.5154350549646631,0.6641832397160627,2.553953660505166,5.053723554433528,-168.11002482536614,0.0,0.001249568807082345,800.2760586949425,-0.17817281315185546,-0.8675975145469702
 0.5245348365633521,0.6878419869213557,2.599924728820034,5.05188699490227,-168.11172096615678,0.0,0.0012835376676037106,779.0967302634299,-0.18639357134352685,-0.9034017028338097
 0.5334555560544166,0.7114370757133166,2.6449759815444254,5.05018152061807,-168.11345851987662,0.0,0.0013178581510166494,758.8070075892153,-0.19477730709683713,-0.9398048847638226
 0.5422061863280316,0.73496887123097,2.689154355956133,5.048593419026581,-168.11523774173634,0.0,0.001352532242392772,739.353908658691,-0.20332499535436488,-0.9768082972606951
